Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Design Thinking: Customer Experience,"Customer expectations are higher than ever before, and business success is becoming more and more dependent on a company's ability to meet or exceed those expectations with nearly every interaction. Customer experience—or CX—is the summary of all the interactions a company has with a customer over time. While understanding how to consider and choreograph those interactions is undeniably complex, at its core, customer experience is about something quite simple: relationships.<br><br>

In this course, frog's director of strategy, Geoffrey Schwartz, introduces you to customer experience and why it's important in today's hypercompetitive world. Geoffrey breaks down the different components that make up a customer experience, like archetypes, activities, interactions, and experience principles. Throughout the course, he uses real-world examples to demonstrate how those components come together to form a company's relationship with their customers. <br><br>

At the end of the course, you'll have the foundational tools needed to take a holistic view of an organization's customer experience and identify opportunities that can deepen relationships and drive loyalty.",Course,N/A,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483131,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483131,Course,2023-05-24 21:07 UTC,N/A,false,N/A,
Product Management: Building a Product Strategy,"Behind every successful product there is a clear strategic vision that takes both market and customer needs into account. Essentially, strategy is the set of choices a company makes in order to achieve its objectives. These choices include which products to develop, which market segments to focus on, how to differentiate, how to price, how to position, and more. Product leaders are the guardians of a company's strategy. While many people and teams can contribute to developing a strategy, product leaders need to articulate it and ensure that it's done in a way that is applicable for day-to-day decision-making. This course lays out how to develop an effective product strategy. Instructors Eldad Persky and Teg Grenager walk through a step-by-step process for creating a smart, thoughtful strategy, and explain how to build support for it. Plus, they go over how to maintain and implement your strategy.",Course,N/A,N/A,true,N/A,
Product Management: Building a Product Roadmap,"A roadmap is a simple but powerful tool for product development. A strong product roadmap supports your business objectives and product strategy. It can help you make decisions and answer critical questions. For example, how do you decide which projects to pursue, and which to defer until later? How can you know which projects will be important a few months from now, when the market is changing so quickly? And how do you get all the diverse groups in your organization aligned behind one particular plan?<br><br>

This course shows how to build a product roadmap for your business—and gain critical stakeholder buy-in. See examples of what roadmaps might look like, and spend time learning the tools and techniques necessary to map the projects for your specific organization. Instructors Teg Grenager and Eldad Persky show you how to create strong, dynamic roadmaps that can help ensure that your team is working on the right projects at the right time.",Course,2023-10-15 23:52 UTC,N/A,true,N/A,
Marketing: Copywriting for Social Media,"The right words can move your audience to act. But reliably finding those words—and fine-tuning them for posts on different social media platforms—is no easy feat. Instructor and personal branding guru Michaela Alexis understands this struggle. And in this course, she breaks down copywriting tools and strategies that can help you find your brand's voice and unlock social media success. Michaela shares trusty copywriting formulas and shows how buyer personas can help you craft more relevant written content. She explains how to tailor your copy specifically for various social platforms—like LinkedIn, Twitter, and the platforms from Meta: Facebook and Instagram. Plus, Michaela introduces tools that can help you keep your content readable and free of errors, while offering tips on continuously improving your posts using feedback and A/B testing.",Course,2022-12-02 23:23 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,N/A,N/A,true,N/A,
15 Secrets Successful People Know about Time Management (getAbstract Summary),"In his book, <i>15 Secrets Successful People Know About Time Management</i>, Kevin Kruse—New York Times best-selling author and award-winning entrepreneur—combines his skills as a CEO and a journalist to search for common bonds of success by surveying people of great accomplishment. The billionaires, entrepreneurs, and Olympians he interviewed all said that they make the most of every minute, at work and at play. All high achievers regard time as an asset more valuable than money—and they spend every minute wisely. In this audio-only summary of his book, created by getAbstract, you can learn how top achievers manage their time, and why they emphasize the need for rest, exercise, and even fun. Discover how this practical advice can help you become more efficient and more successful.

<br><br>This audiobook summary was created by <a href=""https://www.getabstract.com/en/enterprise/solutions?utm_source=LILearning&utm_medium=partner&utm_campaign=15_secrets_successful_people_time_management"" target=""_blank"">getAbstract</a>, the world’s largest provider of business book summaries. We are pleased to offer this training in our library. <br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIFxvXXPHHCxSa6cPSc5vVo1hQ.jpg"" height=""30%"" width=""30%"">",Course,N/A,N/A,true,N/A,
Learning Infrastructure for Developers,"Many software developers write features and merge them into QA without any insight into their application’s infrastructure. If you're a developer who's curious about the infrastructure that helps serve your application to customers—as well the decisions that must be made to keep your app working smoothly—then this course is for you. Join instructor Kathryn Hodge as she delves into the topic of infrastructure, explaining how the code you write fits into the rest of the technology stack. Get an overview of how the internet works, and discover how you can run your code locally with localhost. Learn how to build a remote computer on the cloud and access it using the SSH protocol. Discover how to determine where your servers live, balance traffic using load balancers, and push your code to the internet. Plus, explore advanced topics that are important to building high-availability applications, such as blue-green deployments, traffic flow, and scaling vertically or horizontally.",Course,2021-04-21 15:49 UTC,N/A,false,N/A,
Learning Jira Software (2019),"Planning projects, assigning tasks, tracking progress, and releasing results can all be managed in Jira, the popular and collaborative software for development teams. In this course, Robert Anthony shares his expertise as he guides you through the fundamentals of using Jira. Robert digs deep into the tool's features, helping to transform everyday users into power users. Learn how to create tickets, locate issues assigned to you and others, use advanced search, create dashboards, and set up workflow boards to organize work. In addition, Robert facilitates several challenges and solutions, so you can practice what you learn as you follow along. This course covers elements of the new Jira experience, including next-gen boards and user projects.",Course,N/A,N/A,true,N/A,
Digital Accessibility for the Modern Workplace,"<p>The move towards a more digital workplace affects everyone, from newly remote employees to frontline workers. With technology being such a critical part of how we do our jobs, having accessible solutions is essential to providing an inclusive workplace. In this course, join Hector Minto, an accessibility evangelist at Microsoft, as he shares how to use accessibility solutions across your tools and processes. Hector covers the importance of accessibility, as well as how modern trends have brought accessibility to the forefront. He also shares technology solutions for each type of disability and provides best practices for developing more inclusive experiences in your meetings, emails, presentations, and social media posts. After taking this course, you’ll have the tools you need to start creating a work environment that is inclusive.</p>
<p>Note: To view a version of this course with audio descriptions, see <a href=""https://www.linkedin.com/learning/digital-accessibility-for-the-modern-workplace-with-audio-descriptions/accessibility-at-work?autoplay=true&u=104"" target=""_blank""><i>Digital Accessibility for the Modern Workplace (with Audio Descriptions)</i></a>.</p>",Course,2022-08-02 15:13 UTC,N/A,true,N/A,
Succeeding in DevOps,"DevOps engineer is one of the most in-demand tech jobs on the market. But since this role is still relatively new, aspiring DevOps engineers may have a somewhat murky understanding of what the position entails. In this course, Laura Stone clearly outlines what's expected of DevOps practitioners, as well as what it takes to become a DevOps engineer (and how to excel once you've landed the job). She begins by highlighting the basic qualifications and training needed to land a job as a DevOps practitioner. Next, she provides a technical roadmap for the skills needed to gain an entry-level role in DevOps; shares tips from a DevOps recruiter;  and provides steps for measuring progress and achieving your goals throughout your DevOps career.",Course,2022-06-10 14:52 UTC,N/A,false,N/A,
What Is a PMO?,Many businesspeople still don’t understand what a project management office (PMO) is or what it does. Learn about the purpose of a PMO and why it is so important to the success of a modern business in this course with PMP Andy Jordan. Andy compares the different PMO models and identifies the roles a PMO plays in business planning and strategy execution. This brief course can help you apply the concept of a PMO to your own business and identify opportunities to optimize project delivery and achieve better results.,Course,2022-12-22 20:30 UTC,N/A,false,N/A,
43 Ideas for Starting a Side Business,"It's a great time to explore creating a side business that can earn you extra income. In this course, Dana Robinson, a serial entrepreneur and attorney, shares 43 ideas for making additional income. Dana offers an array of options, including being a voice artist, turning trash into treasure (and selling it for a profit), landing copyediting gigs, becoming a virtual assistant, and working in real estate management. Dana highlights the value of each opportunity, outlines how to get started, and provides examples of successful ventures. After watching this course, you'll be ready to put one of these ideas into action.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img alt=""Madecraft Logo""src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2022-06-09 17:59 UTC,N/A,true,N/A,
Learning Jira (Cloud Edition),"Jira was designed to help software development teams manage projects and track issues. But increasingly, other teams—such as marketing, legal, and finance—are adopting it as well. Want to leverage Jira to track your own work? Tune into this course to learn how to get up and running with the cloud edition of this powerful software. Rachel Wright, an Atlassian Certified Jira Administrator, steps through how to use Jira to manage your own daily tasks and help your organization plan their strategic initiatives. Rachel covers how to navigate Jira, work with projects and issues, change user preferences, and create filters, dashboards, and boards. Upon wrapping up this course, you'll have the core information you need to get started with Jira right away.",Course,N/A,N/A,true,N/A,
Diverse Talent in Recruiting and Hiring,"Workplace diversity and inclusion is a key priority area for organizations large and small. Hiring managers need to be able to locate, hire, and onboard diverse candidates in order to succeed. This course is a guide that can help you develop a diversity hiring strategy, increase your candidate pool, and remove bias from your screening and interview process. Award-winning management consultant Christie Lindor articulates the definitions of diversity and diversity hiring and helps you plan for a bias-free recruitment process, create more diverse recruiting teams for more diverse hiring, and adopt best practices when it comes to candidate screening, interviews, and evaluations. Plus, learn how to make your efforts authentic by understanding the motivational triggers and factors that candidates consider when weighing new roles and opportunities.",Course,2022-07-21 18:38 UTC,N/A,false,N/A,
Accelerating Your Career with Personal Branding,"When it comes to accelerating your career, you can’t ignore the importance of your personal brand. Your brand is your voice, your reputation, and a key part of your professional persona. In this course, explore how to use your personal brand to boost your career with award-winning leadership strategist Shadé Zahrai.<br><br>Learn how to get started crafting a standout brand of your own, with practical advice to help you grow, gain recognition, and open new professional doors. Find out how to create compelling and unforgettable personal content, develop authentic work relationships, and elevate your influence along the way. By the end of this course, you’ll be better poised to manage your brand online and cultivate a lasting impression on the job.",Course,2022-10-27 14:48 UTC,N/A,true,N/A,
"Agile Project Management with Jira Cloud: 1 Projects, Boards, and Issues","Get started with agile project management. Get an overview of agile and Jira, then practice creating and using project boards in both company-managed and team-managed versions of Jira Cloud. Learn how to create issues and subtasks, and explore techniques to make your logged issues more useful. Finally,  learn the value of the kanban method, and how to configure a kanban board.<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,N/A,N/A,true,N/A,
Ecommerce Fundamentals (2020),"Got an idea for a product that you'd like to sell online? In this course, instructor Patrick Rauland covers what you need to know to transform your idea into a full-fledged online store. Patrick details several different ecommerce business models, as well as how to choose the one that's right for you. He explains how to select a target industry or niche area for your business, define the type of customer you're targeting by creating a persona, and select and validate your product idea. After helping you figure out what you're selling and who you're selling to, Patrick delves into the practicalities of getting your product on the market. He shares how to register for permits, develop your brand, and sell your product either in your own online store or in marketplaces. He also shares tips for attracting customers, fulfilling orders, and managing your finances as the sales start rolling in.",Course,N/A,N/A,true,N/A,
GPT-4: The New GPT Release and What You Need to Know,"<p>The next generation of GPT is here, and it’s time to get up to speed. The latest version, GPT-4, takes all the core functionalities of GPT-3.5 and reworks them for more reliable, consistent results and higher performance delivered at speed. Join data science consultant and AI expert Jonathan Fernandes to get a sneak peek at what’s new with GPT-4, in this approachable, easy-to-follow course designed for both technical and non-technical learners.</p><p>Explore the wide variety of tasks that GPT-4 can perform with accuracy and ease, as you develop your understanding of how large language models function in interactive natural language processing. Along the way, gather insights from Jonathan on model specifications, decoders, parameters, training tools such as PPO reinforcement learning, common limitations, HELM, and more. Upon completing this course, you’ll have the skills you need to know to get started with GPT-4 and select the model that’s best for you.</p>",Course,2023-07-02 18:09 UTC,N/A,false,N/A,
Lightroom Classic CC Essential Training (2015),"Take what you know about Lightroom Classic CC—whether it's a little or a lot—and kick it up a notch, with this essential training from photographer/teacher Chris Orwig. Lightroom Classic CC brings this extremely popular photo-asset management, enhancement, and publishing program for Windows and Macintosh into the Creative Cloud, offering integration with the rest of the Adobe apps as well as access to Lightroom Mobile. There are more features to cover than ever before. <br><br>

Chris starts with the Library module: the hub for importing, viewing, ranking and rating your photographs. Then he'll move to the Develop module and show how to make one-click enhancements, correct exposure, retouch distractions, and perform localized adjustments. Want to push photos to their creative limit, and share them with family friends? Chris also covers creating panoramas and books, slideshows, and custom print layouts, and making localized corrections.",Course,N/A,N/A,true,N/A,
The Step-By-Step Guide to Sharing Your Personal Story on LinkedIn,"It can be daunting to put our personal stories out there for the world to see, but when we do, we learn about ourselves and inspire others. In this course, instructor Alexandra Galviz shows you how to use the principles of storytelling to find your voice, share your story, and grow an inspiring and influential presence on LinkedIn. Alexandra walks you through finding your story’s purpose and your ideal reader. What do you want to achieve in telling your story, and who are you writing to? What key moments do you want to highlight? Next, Alexandra discusses how you can frame your story around the hero’s journey, using storyboards and selecting the best medium for sharing your story. After sharing a trio of useful storytelling techniques, she concludes with the thought that sharing your story authentically, vulnerably, and courageously takes courage and gives you an opportunity to step into your leadership and inspire others.",Course,2022-05-06 16:17 UTC,N/A,false,N/A,
Next Generation AI: An Intro to GPT-3,"<div><a href=""https://www.linkedin.com/newsletters/6758890536175833088?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Jonathan's LinkedIn Newsletter</a></div><br>Are you an AI specialist, a data scientist, a business leader, or someone who would like to know more about how artificial intelligence is impacting our world? In this course, instructor Dr. Jonathan Reichental introduces you to a hot topic in AI development: the GPT-3 (Generative Pre-trained Transformer 3) technology released by Open AI. Reichental describes the increasingly important role that AI is playing in business. He covers a brief history of AI, then tells you about how OpenAI got started, its mission and vision, and its unique charter. Reichental discusses the core concepts of GPT-3, how it adds value, and a few of its challenges and limitations. He describes the future of AI, then concludes with suggestions for next steps you and your organization can take relative to GPT-3 and AI.",Course,2023-01-25 19:53 UTC,N/A,true,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2022-08-05 19:03 UTC,N/A,false,N/A,
Accessibility for Web Design,"Are you doing everything you can to make sure your sites are accessible and easy to use? Learn practical accessibility techniques to ensure your web designs can be viewed and used by everyone. Internationally recognized accessibility expert Derek Featherstone walks through examples of common web interaction flows, and then steps through considerations and tactical strategies for each component, to assure that people with disabilities can easily complete those tasks. Learn the proper use of color, contrast, and motion, and find out how to design keyboard interactions and touch interfaces; incorporate images, sound, and video; design accessible forms; structure content at the tag level; and balance responsive design with accessibility.",Course,2022-08-01 16:46 UTC,N/A,true,N/A,
Code Clinic: Swift,"Practice coding with Swift, the programming language for iOS and Mac. <i>Code Clinic</i> is a series of courses that solve the same problems using different programming languages. It gives developers a chance to experiment with new platforms and compare their strengths. In this course, Todd Perkins takes you through six different challenges and provides an overview of his solutions in Swift. Challenges cover topics such as statistical analysis, geolocation, facial recognition, and accessing peripheral devices. Each lesson provides practical skills, valuable design patterns, and code snippets you can use in your own projects.<br><br>

Visit other courses in the series to see how to solve the exact same challenges in languages like C#, C++, Java, PHP, Python, and Ruby.",Course,N/A,N/A,true,N/A,
Becoming a Product Manager: A Complete Guide,"What does a product manager actually do? What kind of product manager roles are out there, and how do they differ from project management? In this course, get answers to those questions—and more—as you learn about the different tools and techniques needed to successfully coordinate all aspects of product development. Instructors Cole Mercer and Evan Kimbrell go over the major phases of the product lifecycle and discuss how approaches like agile, scrum, and kanban actually work in real-world situations. Plus, learn how to address real user needs, approach customer development, run MVP experiments, sketch out mobile apps, work with your stakeholders, and much more.",Course,N/A,N/A,true,N/A,
Product Innovation for Product Managers,"In order for a company to expand into new markets and continuously grow their business, they must innovate. As a product manager, understanding how to approach each stage of the product innovation process—from identifying the right problem to launching and scaling—is key. In this course, Karen Holst walks through this process, sharing practical strategies and tools that can help you facilitate the creation of valuable new products. Karen shares how to better understand your company's ecosystem and approach the different phases of innovation, including preparation and discovery, creating ideas, testing and prototyping, and launching and scaling.",Course,N/A,N/A,true,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2022-11-17 19:08 UTC,N/A,true,N/A,
Lightroom Quick Tips,"This collection of Adobe Lightroom quick tip videos is designed to show you workarounds, demonstrate helpful tricks, and quickly explain useful features. Discover quick ways to remove spots, lines, and other distractions. Plus, explore how to smooth wrinkles, tone down reflections, whiten teeth, and more.",Course,N/A,N/A,true,N/A,
Creating a Business Plan,"<div><a href=""https://www.linkedin.com/newsletters/the-thoughtleaders-brief-6922396815786999808/?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Mike's LinkedIn Newsletter</a></div><br>Looking to build a business or expand one you're already running? You'll need to build a business plan before you do. Experienced entrepreneur and consultant Mike Figliuolo walks through the process of defining your business, researching the market, and determining your product. Once you've figured out what your product or service will be, Mike provides guidance for thinking through your sales strategy, day-to-day operations, staffing, and financial forecasting. A sample business plan is provided, so you can follow along with the development of a real-world company.",Course,N/A,N/A,true,N/A,
Product Management: Customer Development,"Great products are built from a strong understanding of customer needs. As a product manager, you're tasked with identifying those customer needs so that you're able to direct the creation of products that make your customers' lives a bit easier.<br><br> 

In this course, discover how to leverage the customer development process to validate your assumptions and create products customers will truly love—without spending all your precious time or money. Learn how to craft your own problem hypothesis, perform user research, create surveys and analyze the results, and conduct effective user interviews.",Course,N/A,N/A,true,N/A,
Learning Design Thinking: Lead Change in Your Organization,"Design thinking is a user-centered way of solving problems. It involves extensive collaboration, using strategies such as mapping customer journeys, concept creation, and prototyping. This course teaches leaders how to help their teams adopt a design thinking mindset, and provides examples from author Turi McKinley's work at frog, a global design and strategy firm that transforms businesses at scale by creating systems of brand, product, and service.<br><br>

The course opens with a definition of design thinking, including the roles and spaces required for success. You will then learn how to be a good design thinking leader, with specific advice on topics from setting goals to engaging the different skill sets and personalities in the room (introverts and extroverts alike). Next, Turi dives into creative collaboration: the heart of design thinking. She covers planning, research, and concept creation, and explains how to create a ""service blueprint"" that will help make the design a reality. Chapter 4 introduces prototyping techniques to advance the design.<br><br>
Design thinking is all about collaboration so we've integrated a LinkedIn Group called ""Design Thinking: frog + Lynda.com course."" Throughout the course, the author will suggest opportunities for you to share what you're learning. You'll be able to participate in course-related discussions through your web browser at <a href=""https://linkedin.com/groups/7022790"" target=""blank"">https://linkedin.com/groups/7022790</a> or via the LinkedIn Groups app, which is available for most smartphones. This is a great way to expand your learning and get additional insights from other members taking the course.",Course,N/A,N/A,true,N/A,
Career Advice from Some of the Biggest Names in Business,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6481481946697388032?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Career Development Newsletter</a></div><br>What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2023-06-16 17:26 UTC,N/A,true,N/A,
C++ Essential Training (2018),"Learn C++ programming, starting with the basics. Widely used for both systems and applications development, C++ is available for virtually every operating system and has influenced and informed many derivative languages, including C# and Java. In this course, Bill Weinman guides you through the nuts and bolts of this essential language. He helps you set up your environment for coding and dissects the anatomy of a basic C++ program. He reviews the essentials—statements and expressions, variables, conditionals, operators, loops, and functions—and moves on to more complex topics, such as data structures, classes and objects, and templates. Along the way, Bill explains concepts such as recursion, type casting, and operator overloads, and dives into the powerful container classes and algorithms in Standard Template Library (STL). These exhaustive tutorials provide a solid C++ reference for both experienced programmers and those who are brand new to the language.",Course,N/A,N/A,true,N/A,
Foundations of Enterprise Content Management,"The amount of content companies need to create, distribute, and manage gets bigger every day. Learn the foundational principles behind crafting a content management solution for an enterprise business. In this course, Phil Gold breaks down the tools, systems, procedures, workflows, and best practices for crafting an effective content management strategy for medium to large businesses. Phil explores how these tools can support company culture and objectives, while providing employees access to the information and documents they need to do their job and collaborate with different departments across the globe. Discover what a content management system (CMS) will and won't do, and what to look for when choosing a solution for your business. Phil also compares the advantages and disadvantages of open-source platforms like WordPress and proprietary solutions like SharePoint, so you can better understand their strengths.",Course,2023-05-16 22:21 UTC,N/A,false,N/A,
Becoming a Digital Nomad,"Want to see the world without hitting pause on your career? Consider embracing the life of a digital nomad. Instructor Rowena Hennigan—a speaker, professor, and globally recognized expert in remote work—has successfully mixed travel and work since 2007. In this course, she lays out the key benefits and challenges of this lifestyle, as well as what you need to know before embarking on your first adventure as a digital nomad.<br><br>Drawing from her own considerable professional and practical experience, Rowena steps through the basics of digital nomadism. She covers the increasing number of destinations that offer digital nomad visas; where you can travel based on your passport; how to navigate work status and compliance; and how to determine whether this untethered lifestyle would actually suit you. And if you’re ready to make the switch, she details how to pick the right destination, tap into a community, and lessen the environmental impact of your travels.",Course,N/A,N/A,true,N/A,
